"bigram","tf_idf","Class"
"brca1fh i26a",0.000494214108019913,6
"mlh1 ctd",0.000487795742980693,6
"tet2 dna",0.000452494735264985,6
"brca1 bard1",0.00045066944456337,6
"brca1flex2 flex2",0.000449285552745376,6
"fh i26a",0.000449285552745376,6
"mathml sourceturn",0.00044533958253831,6
"sourceturn mathjax",0.00044533958253831,6
"kit exon",0.000885705207656755,7
"20 insert",0.000453414020217486,7
"cyclin d1",0.000338826752427924,7
"nic gfp",0.000324162412407695,7
"pf 06463922",0.000284278230753288,7
"wm278 nic",0.000235279170295908,7
"thr 286",0.0002187895190444,7
"tert promot",0.000218562081093408,7
"egfr tki",0.000218134002058913,7
"line gefitinib",0.000214767652885495,7
"pf 1066",0.000196823379479279,7
"npm alk",0.000189085138990745,7
"jm domain",0.000183664120097662,7
"primari kit",0.000182190536998369,7
"crizotinib resist",0.00018090579619021,7
"mutant kit",0.000178168670839465,7
"ph kd",0.000176847275293322,7
"brd4 nut",0.00017508467786515,7
"flt3 wt",0.00017508467786515,7
"il 9rα",0.000171559483008804,7
"dnmt3b7 express",0.00316439172060055,8
"h3 k42a",0.00304150272174227,8
"h3 k42",0.00211983523030522,8
"h3 k42me2",0.00193550173201781,8
"paediatr gbm",0.0017511682337304,8
"bcor rara",0.00164037580151497,8
"myc dnmt3b7",0.00153611248572842,8
"gbm subgroup",0.00144394573658472,8
"mutant idh",0.00115208436429632,8
"truncat dnmt3b",0.00110600098972446,8
"dnmt3b transcript",0.00098843157270774,8
"ccnb3 posit",0.00098311199086619,8
"dnmt3b protein",0.000860222992007916,8
"eµ myc",0.000844861867150632,8
"aberr dnmt3b",0.000829500742293348,8
"her2l869r t798i",0.000768056242864211,8
"sf3b1 mutant",0.000752695118006927,8
"bcor ccnb3",0.000748352106017669,8
"dnmt3b7 mice",0.000737333993149642,8
"spt6 1004",0.000737333993149642,8
"sf3b1 mutant",0.00314055600026617,9
"u2af1 s34f",0.0026040443502207,9
"sf3b1 k700e",0.00219838920018632,9
"mutant idh",0.002100246825178,9
"sf3b1 knockdown",0.00183630534234884,9
"mutant u2af1",0.00160953495013641,9
"mutant u2af35",0.00149176410012643,9
"idh2 arg",0.0014525071501231,9
"u2af35 transduc",0.00141325020011978,9
"2hg accumul",0.0013436380553772,9
"prc2 complex",0.00128893652510924,9
"mir 130b",0.00128239370010869,9
"degron ki",0.00123005110010425,9
"mutant ezh2",0.00123005110010425,9
"arg 172",0.00121696545010314,9
"arg 140",0.00117770850009981,9
"exon usag",0.0011646228500987,9
"idh1r132h wt",0.00113845155009649,9
"β trcp",0.00110113148809383,9
"dd tag",0.00107302330009094,9
